GDAY_DS,T_ID,W,L,D,누적승률
20200625HHSS,HH,11,34,0,0.24444444444444444
20200626KTHH,HH,12,34,0,0.2608695652173913
20200627KTHH,HH,12,35,0,0.2553191489361702
20200628KTHH,HH,12,36,0,0.25
20200701HHHT,HH,12,37,0,0.24489795918367346
20200702HHHT,HH,12,38,0,0.24
20200703HHOB,HH,12,39,0,0.23529411764705882
20200704HHOB,HH,13,39,0,0.25
20200705HHOB,HH,13,40,0,0.24528301886792453
20200707LTHH,HH,14,40,0,0.25925925925925924
20200708LTHH,HH,14,41,0,0.2545454545454545
20200709LTHH,HH,14,42,0,0.25
20200710SKHH,HH,15,42,0,0.2631578947368421
20200711SKHH,HH,15,43,0,0.25862068965517243
20200713SKHH,HH,16,43,0,0.2711864406779661
20200714HHKT,HH,16,44,0,0.26666666666666666
20200715HHKT,HH,17,44,0,0.2786885245901639
20200716HHKT,HH,17,45,0,0.27419354838709675
20200717HHLG,HH,17,46,0,0.2698412698412698
20200718HHLG,HH,17,47,0,0.265625
20200719HHLG,HH,17,48,0,0.26153846153846155
20200721HTHH,HH,17,49,0,0.25757575757575757
20200722HTHH,HH,17,50,0,0.2537313432835821
20200724SKHH,HH,17,51,0,0.25
20200726SKHH,HH,17,52,0,0.2463768115942029
20200727SKHH,HH,17,52,1,0.2463768115942029
20200729HHSS,HH,18,52,1,0.2571428571428571
20200730HHSS,HH,18,53,1,0.2535211267605634
20200731HHLG,HH,19,53,1,0.2638888888888889
20200801HHLG,HH,19,54,1,0.2602739726027397
20200805NCHH,HH,20,54,1,0.2702702702702703
20200806NCHH,HH,20,55,1,0.26666666666666666
20200809KTHH,HH,20,56,1,0.2631578947368421
20200811HHWO,HH,21,56,1,0.2727272727272727
20200812HHWO,HH,21,57,1,0.2692307692307692
20200813HHWO,HH,21,58,1,0.26582278481012656
20200814SSHH,HH,21,59,1,0.2625
20200815SSHH,HH,21,60,1,0.25925925925925924
20200816SSHH,HH,22,60,1,0.2682926829268293
20200818HHSK,HH,22,61,1,0.26506024096385544
20200819HHSK,HH,22,62,1,0.2619047619047619
20200820KTHH,HH,22,63,1,0.25882352941176473
20200821KTHH,HH,23,63,1,0.26744186046511625
20200823HHLG,HH,24,63,1,0.27586206896551724
20200824HHLG,HH,25,63,1,0.2840909090909091
20200825HHNC,HH,25,64,1,0.2808988764044944
20200826HHNC,HH,25,65,1,0.2777777777777778
20200827SSHH,HH,26,65,1,0.2857142857142857
20200829HHLT,HH,26,66,1,0.2826086956521739
20200830HHLT,HH,26,67,1,0.27956989247311825
20200901HHOB,HH,26,68,1,0.2765957446808511
20200903WOHH,HH,26,69,1,0.2736842105263158
20200904WOHH,HH,27,69,1,0.28125
20200905HTHH,HH,27,70,1,0.27835051546391754
20200906HTHH,HH,27,71,1,0.2755102040816326
20200908HHSS,HH,28,71,1,0.2828282828282828
20200909HHSS,HH,29,71,1,0.29
20200909HHSS,HH,29,71,2,0.29
20200910SKHH,HH,29,72,2,0.2871287128712871
20200911SKHH,HH,29,73,2,0.28431372549019607
20200912HHKT,HH,29,74,2,0.2815533980582524
20200913HHKT,HH,29,75,2,0.27884615384615385
20200915LGHH,HH,30,75,2,0.2857142857142857
20200916LGHH,HH,30,76,2,0.2830188679245283
20200917HHWO,HH,30,77,2,0.2803738317757009
20200918HHWO,HH,31,77,2,0.28703703703703703
20200919HHHT,HH,31,78,2,0.28440366972477066
20200920HHHT,HH,32,78,2,0.2909090909090909
20200922OBHH,HH,33,78,2,0.2972972972972973
20200923OBHH,HH,34,78,2,0.30357142857142855
20200924LTHH,HH,35,78,2,0.30973451327433627
20200925LTHH,HH,36,78,2,0.3157894736842105
20200926NCHH,HH,36,79,2,0.3130434782608696
20200927NCHH,HH,36,80,2,0.3103448275862069
20200505NCSS,NC,1,0,0,1.0
20200506NCSS,NC,2,0,0,1.0
20200507NCSS,NC,3,0,0,1.0
20200508LGNC,NC,4,0,0,1.0
20200510LGNC,NC,4,1,0,0.8
20200512KTNC,NC,5,1,0,0.8333333333333334
20200513KTNC,NC,6,1,0,0.8571428571428571
20200514KTNC,NC,7,1,0,0.875
20200515NCSK,NC,8,1,0,0.8888888888888888
20200516NCSK,NC,9,1,0,0.9
20200517NCSK,NC,10,1,0,0.9090909090909091
20200519NCOB,NC,11,1,0,0.9166666666666666
20200520NCOB,NC,11,2,0,0.8461538461538461
20200521NCOB,NC,12,2,0,0.8571428571428571
20200522HHNC,NC,12,3,0,0.8
20200523HHNC,NC,13,3,0,0.8125
20200524HHNC,NC,14,3,0,0.8235294117647058
20200526WONC,NC,15,3,0,0.8333333333333334
20200527WONC,NC,16,3,0,0.8421052631578947
20200528WONC,NC,17,3,0,0.85
20200529NCSS,NC,17,4,0,0.8095238095238095
20200530NCSS,NC,17,5,0,0.7727272727272727
20200531NCSS,NC,18,5,0,0.782608695652174
20200602SKNC,NC,18,6,0,0.75
20200603SKNC,NC,19,6,0,0.76
20200604SKNC,NC,20,6,0,0.7692307692307693
20200605NCHH,NC,21,6,0,0.7777777777777778
20200606NCHH,NC,22,6,0,0.7857142857142857
20200607NCHH,NC,23,6,0,0.7931034482758621
20200609OBNC,NC,24,6,0,0.8
20200610OBNC,NC,24,7,0,0.7741935483870968
20200611OBNC,NC,25,7,0,0.78125
20200612WONC,NC,25,8,0,0.7575757575757576
20200613WONC,NC,25,9,0,0.7352941176470589
20200614WONC,NC,26,9,0,0.7428571428571429
20200616NCHT,NC,26,10,0,0.7222222222222222
20200617NCHT,NC,26,11,0,0.7027027027027027
20200619HHNC,NC,27,11,0,0.7105263157894737
20200620HHNC,NC,27,12,0,0.6923076923076923
20200621HHNC,NC,28,12,0,0.7
20200623NCKT,NC,29,12,0,0.7073170731707317
20200625NCKT,NC,29,13,0,0.6904761904761905
20200625NCKT,NC,30,13,0,0.6976744186046512
20200626NCOB,NC,31,13,0,0.7045454545454546
20200627NCOB,NC,31,14,0,0.6888888888888889
20200628NCOB,NC,32,14,0,0.6956521739130435
20200630LTNC,NC,32,15,0,0.6808510638297872
20200701LTNC,NC,33,15,0,0.6875
20200702LTNC,NC,34,15,0,0.6938775510204082
20200703HTNC,NC,34,16,0,0.68
20200704HTNC,NC,35,16,0,0.6862745098039216
20200705HTNC,NC,36,16,0,0.6923076923076923
20200707NCSK,NC,37,16,0,0.6981132075471698
20200708NCSK,NC,37,17,0,0.6851851851851852
20200709NCSK,NC,38,17,0,0.6909090909090909
20200710NCLG,NC,39,17,0,0.6964285714285714
20200711NCLG,NC,39,17,1,0.6964285714285714
20200714NCWO,NC,39,18,1,0.6842105263157895
20200715NCWO,NC,39,19,1,0.6724137931034483
20200716NCWO,NC,40,19,1,0.6779661016949152
20200717KTNC,NC,40,19,2,0.6779661016949152
20200718KTNC,NC,41,19,2,0.6833333333333333
20200719KTNC,NC,42,19,2,0.6885245901639344
20200721SSNC,NC,43,19,2,0.6935483870967742
20200724NCKT,NC,44,19,2,0.6984126984126984
20200725NCKT,NC,44,20,2,0.6875
20200726NCKT,NC,44,21,2,0.676923076923077
20200728NCLT,NC,44,22,2,0.6666666666666666
20200731OBNC,NC,45,22,2,0.6716417910447762
20200801OBNC,NC,45,23,2,0.6617647058823529
20200802OBNC,NC,45,24,2,0.6521739130434783
20200805NCHH,NC,45,25,2,0.6428571428571429
20200806NCHH,NC,46,25,2,0.647887323943662
20200808NCHT,NC,46,26,2,0.6388888888888888
20200809NCHT,NC,47,26,2,0.6438356164383562
20200812NCLT,NC,47,27,2,0.6351351351351351
20200813NCLT,NC,48,27,2,0.64
20200814LGNC,NC,48,28,2,0.631578947368421
20200815LGNC,NC,48,29,2,0.6233766233766234
20200816LGNC,NC,48,30,2,0.6153846153846154
20200818WONC,NC,49,30,2,0.620253164556962
20200819WONC,NC,49,31,2,0.6125
20200820NCHT,NC,50,31,2,0.6172839506172839
20200821NCHT,NC,51,31,2,0.6219512195121951
20200823NCKT,NC,51,32,2,0.6144578313253012
20200824NCKT,NC,51,33,2,0.6071428571428571
20200825HHNC,NC,52,33,2,0.611764705882353
20200826HHNC,NC,53,33,2,0.6162790697674418
20200827OBNC,NC,54,33,2,0.6206896551724138
20200828OBNC,NC,54,34,2,0.6136363636363636
20200829SKNC,NC,55,34,2,0.6179775280898876
20200830SKNC,NC,56,34,2,0.6222222222222222
20200901NCWO,NC,57,34,2,0.6263736263736264
20200902NCWO,NC,57,35,2,0.6195652173913043
20200903NCLG,NC,57,36,2,0.6129032258064516
20200904NCLG,NC,57,36,3,0.6129032258064516
20200906NCSS,NC,57,37,3,0.6063829787234043
20200908LTNC,NC,58,37,3,0.6105263157894737
20200909LTNC,NC,58,38,3,0.6041666666666666
20200910KTNC,NC,59,38,3,0.6082474226804123
20200911KTNC,NC,60,38,3,0.6122448979591837
20200912HTNC,NC,60,39,3,0.6060606060606061
20200913HTNC,NC,60,40,3,0.6
20200915NCOB,NC,60,41,3,0.594059405940594
20200916NCOB,NC,61,41,3,0.5980392156862745
20200917NCSK,NC,62,41,3,0.6019417475728155
20200918NCSK,NC,63,41,3,0.6057692307692307
20200919NCLT,NC,63,42,3,0.6
20200920NCLT,NC,64,42,3,0.6037735849056604
20200920NCLT,NC,65,42,3,0.6074766355140186
20200922SSNC,NC,66,42,3,0.6111111111111112
20200923SSNC,NC,67,42,3,0.6146788990825688
20200924LGNC,NC,68,42,3,0.6181818181818182
20200925LGNC,NC,69,42,3,0.6216216216216216
20200926NCHH,NC,70,42,3,0.625
20200927NCHH,NC,71,42,3,0.6283185840707964
20200505LTKT,LT,1,0,0,1.0
20200506LTKT,LT,2,0,0,1.0
20200507LTKT,LT,3,0,0,1.0
20200508SKLT,LT,4,0,0,1.0
20200510SKLT,LT,5,0,0,1.0
20200512OBLT,LT,5,1,0,0.8333333333333334
20200513OBLT,LT,6,1,0,0.8571428571428571
20200514OBLT,LT,6,2,0,0.75
20200515LTHH,LT,6,3,0,0.6666666666666666
20200516LTHH,LT,7,3,0,0.7
20200517LTHH,LT,7,4,0,0.6363636363636364
20200519LTHT,LT,7,5,0,0.5833333333333334
20200520LTHT,LT,7,6,0,0.5384615384615384
20200521LTHT,LT,7,7,0,0.5
20200522WOLT,LT,8,7,0,0.5333333333333333
20200523WOLT,LT,8,8,0,0.5
20200524WOLT,LT,9,8,0,0.5294117647058824
20200526SSLT,LT,10,8,0,0.5555555555555556
20200527SSLT,LT,10,9,0,0.5263157894736842
20200528SSLT,LT,10,10,0,0.5
20200529LTOB,LT,10,11,0,0.47619047619047616
20200530LTOB,LT,10,12,0,0.45454545454545453
20200531LTOB,LT,11,12,0,0.4782608695652174
20200602LTHT,LT,11,13,0,0.4583333333333333
20200603LTHT,LT,11,14,0,0.44
20200604LTHT,LT,11,15,0,0.4230769230769231
20200605KTLT,LT,12,15,0,0.4444444444444444
20200606KTLT,LT,13,15,0,0.4642857142857143
20200607KTLT,LT,14,15,0,0.4827586206896552
20200609HHLT,LT,15,15,0,0.5
20200610HHLT,LT,16,15,0,0.5161290322580645
20200611HHLT,LT,17,15,0,0.53125
20200612LTLG,LT,17,16,0,0.5151515151515151
20200613LTLG,LT,18,16,0,0.5294117647058824
20200614LTLG,LT,18,17,0,0.5142857142857142
20200616LTWO,LT,19,17,0,0.5277777777777778
20200617LTWO,LT,19,18,0,0.5135135135135135
20200618LTWO,LT,19,19,0,0.5
20200619LTKT,LT,19,20,0,0.48717948717948717
20200620LTKT,LT,20,20,0,0.5
20200621LTKT,LT,20,21,0,0.4878048780487805
20200623HTLT,LT,21,21,0,0.5
20200626SSLT,LT,21,22,0,0.4883720930232558
20200627SSLT,LT,21,23,0,0.4772727272727273
20200628SSLT,LT,22,23,0,0.4888888888888889
20200630LTNC,LT,23,23,0,0.5
20200701LTNC,LT,23,24,0,0.48936170212765956
20200702LTNC,LT,23,25,0,0.4791666666666667
20200703SKLT,LT,23,26,0,0.46938775510204084
20200704SKLT,LT,24,26,0,0.48
20200705SKLT,LT,24,27,0,0.47058823529411764
20200707LTHH,LT,24,28,0,0.46153846153846156
20200708LTHH,LT,25,28,0,0.4716981132075472
20200709LTHH,LT,26,28,0,0.48148148148148145
20200710OBLT,LT,26,29,0,0.4727272727272727
20200711OBLT,LT,27,29,0,0.48214285714285715
20200714LGLT,LT,28,29,0,0.49122807017543857
20200715LGLT,LT,28,30,0,0.4827586206896552
20200716LGLT,LT,29,30,0,0.4915254237288136
20200717LTSS,LT,29,31,0,0.48333333333333334
20200718LTSS,LT,29,32,0,0.47540983606557374
20200719LTSS,LT,30,32,0,0.4838709677419355
20200721LTSK,LT,30,33,0,0.47619047619047616
20200724LTWO,LT,31,33,0,0.484375
20200725LTWO,LT,32,33,0,0.49230769230769234
20200726LTWO,LT,32,34,0,0.48484848484848486
20200728NCLT,LT,33,34,0,0.4925373134328358
20200731HTLT,LT,33,35,0,0.4852941176470588
20200801HTLT,LT,34,35,0,0.4927536231884058
20200802HTLT,LT,35,35,0,0.5
20200804LTSK,LT,36,35,0,0.5070422535211268
20200806LTSK,LT,37,35,0,0.5138888888888888
20200807LTOB,LT,38,35,0,0.5205479452054794
20200808LTOB,LT,38,35,1,0.5205479452054794
20200812NCLT,LT,39,35,1,0.527027027027027
20200813NCLT,LT,39,36,1,0.52
20200814WOLT,LT,40,36,1,0.5263157894736842
20200815WOLT,LT,40,37,1,0.5194805194805194
20200816WOLT,LT,40,38,1,0.5128205128205128
20200818OBLT,LT,40,39,1,0.5063291139240507
20200819OBLT,LT,41,39,1,0.5125
20200820LTOB,LT,42,39,1,0.5185185185185185
20200821LTOB,LT,42,40,1,0.5121951219512195
20200822LTSS,LT,43,40,1,0.5180722891566265
20200823LTSS,LT,44,40,1,0.5238095238095238
20200825SKLT,LT,44,41,1,0.5176470588235295
20200826SKLT,LT,45,41,1,0.5232558139534884
20200827WOLT,LT,45,42,1,0.5172413793103449
20200828WOLT,LT,45,43,1,0.5113636363636364
20200829HHLT,LT,46,43,1,0.5168539325842697
20200830HHLT,LT,47,43,1,0.5222222222222223
20200901LTKT,LT,47,44,1,0.5164835164835165
20200903HTLT,LT,47,45,1,0.5108695652173914
20200904HTLT,LT,47,46,1,0.5053763440860215
20200904HTLT,LT,48,46,1,0.5106382978723404
20200906LGLT,LT,48,47,1,0.5052631578947369
20200907LGLT,LT,49,47,1,0.5104166666666666
20200908LTNC,LT,49,48,1,0.5051546391752577
20200909LTNC,LT,50,48,1,0.5102040816326531
20200910SSLT,LT,51,48,1,0.5151515151515151
20200911SSLT,LT,52,48,1,0.52
20200912LTSK,LT,52,49,1,0.5148514851485149
20200913LTSK,LT,52,50,1,0.5098039215686274
20200915LTWO,LT,53,50,1,0.5145631067961165
20200916LTWO,LT,54,50,1,0.5192307692307693
20200917LTLG,LT,54,51,1,0.5142857142857142
20200918LTLG,LT,55,51,1,0.5188679245283019
20200919NCLT,LT,56,51,1,0.5233644859813084
20200920NCLT,LT,56,52,1,0.5185185185185185
20200920NCLT,LT,56,53,1,0.5137614678899083
20200922KTLT,LT,57,53,1,0.5181818181818182
20200923KTLT,LT,57,54,1,0.5135135135135135
20200924LTHH,LT,57,55,1,0.5089285714285714
20200925LTHH,LT,57,56,1,0.504424778761062
20200926LTHT,LT,58,56,1,0.5087719298245614
20200927LTHT,LT,58,57,1,0.5043478260869565
20200505WOHT,WO,1,0,0,1.0
20200506WOHT,WO,2,0,0,1.0
20200507WOHT,WO,2,1,0,0.6666666666666666
20200508HHWO,WO,3,1,0,0.75
20200509HHWO,WO,4,1,0,0.8
20200510HHWO,WO,5,1,0,0.8333333333333334
20200512SSWO,WO,6,1,0,0.8571428571428571
20200513SSWO,WO,6,2,0,0.75
20200514SSWO,WO,6,3,0,0.6666666666666666
20200516WOLG,WO,6,4,0,0.6
20200516WOLG,WO,6,5,0,0.5454545454545454
20200517WOLG,WO,7,5,0,0.5833333333333334
20200519SKWO,WO,8,5,0,0.6153846153846154
20200520SKWO,WO,8,6,0,0.5714285714285714
20200521SKWO,WO,9,6,0,0.6
20200522WOLT,WO,9,7,0,0.5625
20200523WOLT,WO,10,7,0,0.5882352941176471
20200524WOLT,WO,10,8,0,0.5555555555555556
20200526WONC,WO,10,9,0,0.5263157894736842
20200527WONC,WO,10,10,0,0.5
20200528WONC,WO,10,11,0,0.47619047619047616
20200529KTWO,WO,11,11,0,0.5
20200530KTWO,WO,12,11,0,0.5217391304347826
20200531KTWO,WO,12,12,0,0.5
20200602WOHH,WO,13,12,0,0.52
20200603WOHH,WO,14,12,0,0.5384615384615384
20200604WOHH,WO,15,12,0,0.5555555555555556
20200605LGWO,WO,16,12,0,0.5714285714285714
20200606LGWO,WO,17,12,0,0.5862068965517241
20200607LGWO,WO,17,13,0,0.5666666666666667
20200609WOSS,WO,18,13,0,0.5806451612903226
20200610WOSS,WO,18,14,0,0.5625
20200611WOSS,WO,18,15,0,0.5454545454545454
20200612WONC,WO,19,15,0,0.5588235294117647
20200613WONC,WO,20,15,0,0.5714285714285714
20200614WONC,WO,20,16,0,0.5555555555555556
20200616LTWO,WO,20,17,0,0.5405405405405406
20200617LTWO,WO,21,17,0,0.5526315789473685
20200618LTWO,WO,22,17,0,0.5641025641025641
20200619SKWO,WO,23,17,0,0.575
20200620SKWO,WO,24,17,0,0.5853658536585366
20200621SKWO,WO,25,17,0,0.5952380952380952
20200623WOLG,WO,26,17,0,0.6046511627906976
20200625WOLG,WO,27,17,0,0.6136363636363636
20200625WOLG,WO,28,17,0,0.6222222222222222
20200626HTWO,WO,28,18,0,0.6086956521739131
20200627HTWO,WO,29,18,0,0.6170212765957447
20200628HTWO,WO,30,18,0,0.625
20200630OBWO,WO,31,18,0,0.6326530612244898
20200701OBWO,WO,31,19,0,0.62
20200702OBWO,WO,32,19,0,0.6274509803921569
20200703WOKT,WO,32,20,0,0.6153846153846154
20200704WOKT,WO,33,20,0,0.6226415094339622
20200705WOKT,WO,33,21,0,0.6111111111111112
20200707SSWO,WO,33,22,0,0.6
20200708SSWO,WO,34,22,0,0.6071428571428571
20200709SSWO,WO,35,22,0,0.6140350877192983
20200710WOHT,WO,35,23,0,0.603448275862069
20200711WOHT,WO,35,24,0,0.5932203389830508
20200713WOHT,WO,35,25,0,0.5833333333333334
20200714NCWO,WO,36,25,0,0.5901639344262295
20200715NCWO,WO,37,25,0,0.5967741935483871
20200716NCWO,WO,37,26,0,0.5873015873015873
20200717WOSK,WO,37,27,0,0.578125
20200718WOSK,WO,38,27,0,0.5846153846153846
20200719WOSK,WO,38,28,0,0.5757575757575758
20200721WOOB,WO,38,29,0,0.5671641791044776
20200724LTWO,WO,38,30,0,0.5588235294117647
20200725LTWO,WO,38,31,0,0.5507246376811594
20200726LTWO,WO,39,31,0,0.5571428571428572
20200728WOOB,WO,40,31,0,0.5633802816901409
20200730WOOB,WO,41,31,0,0.5694444444444444
20200731WOSS,WO,42,31,0,0.5753424657534246
20200801WOSS,WO,43,31,0,0.581081081081081
20200802WOSS,WO,44,31,0,0.5866666666666667
20200804KTWO,WO,44,32,0,0.5789473684210527
20200805KTWO,WO,45,32,0,0.5844155844155844
20200806KTWO,WO,46,32,0,0.5897435897435898
20200807LGWO,WO,46,33,0,0.5822784810126582
20200808LGWO,WO,47,33,0,0.5875
20200809LGWO,WO,48,33,0,0.5925925925925926
20200811HHWO,WO,48,34,0,0.5853658536585366
20200812HHWO,WO,49,34,0,0.5903614457831325
20200813HHWO,WO,50,34,0,0.5952380952380952
20200814WOLT,WO,50,35,0,0.5882352941176471
20200815WOLT,WO,51,35,0,0.5930232558139535
20200816WOLT,WO,52,35,0,0.5977011494252874
20200818WONC,WO,52,36,0,0.5909090909090909
20200819WONC,WO,53,36,0,0.5955056179775281
